time, Quad.Est.E.Pos, Quad.Est.S.Z
3.149954,0.033933,0.412711
3.154954,0.034096,0.413079
3.159953,0.034209,0.413324
3.164953,0.034369,0.413694
3.169953,0.034493,0.413941
3.174952,0.034680,0.414312
3.179952,0.034811,0.414560
3.184952,0.035037,0.414933
3.189951,0.035172,0.415183
3.194951,0.035405,0.415558
3.199950,0.035559,0.415808
3.204950,0.043598,0.413290
3.209950,0.043781,0.413528
3.214949,0.044012,0.413886
3.219949,0.044187,0.414126
3.224949,0.044398,0.414486
3.229948,0.044552,0.414727
3.234948,0.044786,0.415089
3.239948,0.044939,0.415331
3.244947,0.045179,0.415694
3.249947,0.045357,0.415937
3.254946,0.045624,0.416303
3.259946,0.045829,0.416547
3.264946,0.046123,0.416915
3.269945,0.046315,0.417160
3.274945,0.046619,0.417529
3.279945,0.046844,0.417776
3.284944,0.047170,0.418147
3.289944,0.047412,0.418395
3.294944,0.047756,0.418768
3.299943,0.047872,0.419017
3.304943,0.023536,0.416504
3.309942,0.023874,0.416741
3.314942,0.024223,0.417097
3.319942,0.024444,0.417335
3.324941,0.024824,0.417694
3.329941,0.024966,0.417933
3.334941,0.025428,0.418293
3.339940,0.025742,0.418533
3.344940,0.026212,0.418895
3.349940,0.026557,0.419137
3.354939,0.027092,0.419500
3.359939,0.027392,0.419743
3.364938,0.027891,0.420108
3.369938,0.028230,0.420352
3.374938,0.028724,0.420719
3.379937,0.028917,0.420964
3.384937,0.029380,0.421333
3.389937,0.029876,0.421580
3.394936,0.030374,0.421950
3.399936,0.030692,0.422198
3.404936,0.044642,0.419692
3.409935,0.045015,0.419927
3.414935,0.045364,0.420282
3.419935,0.045584,0.420518
3.424934,0.045919,0.420875
3.429934,0.046153,0.421112
3.434933,0.046504,0.421470
3.439933,0.046732,0.421709
3.444933,0.047164,0.422069
3.449932,0.047450,0.422309
3.454932,0.047861,0.422670
3.459932,0.048129,0.422912
3.464931,0.048567,0.423275
3.469931,0.048853,0.423518
3.474931,0.049311,0.423883
3.479930,0.049666,0.424126
3.484930,0.050169,0.424493
3.489929,0.050510,0.424738
3.494929,0.051004,0.425107
3.499929,0.051300,0.425353
3.504928,0.037879,0.422853
3.509928,0.038101,0.423088
3.514928,0.038463,0.423440
3.519927,0.038692,0.423675
3.524927,0.039032,0.424029
3.529927,0.039281,0.424266
3.534926,0.039650,0.424622
3.539926,0.039898,0.424859
3.544925,0.040252,0.425217
3.549925,0.040492,0.425456
3.554925,0.040850,0.425815
3.559924,0.041081,0.426055
3.564924,0.041426,0.426416
3.569924,0.041656,0.426657
3.574923,0.042016,0.427020
3.579923,0.042248,0.427262
3.584923,0.042598,0.427627
3.589922,0.042844,0.427871
3.594922,0.043217,0.428237
3.599921,0.043480,0.428482
3.604921,0.074103,0.425989
3.609921,0.074412,0.426222
3.614920,0.074985,0.426573
3.619920,0.075424,0.426807
3.624920,0.076027,0.427158
3.629919,0.076451,0.427394
3.634919,0.077005,0.427747
3.639919,0.077396,0.427984
3.644918,0.077999,0.428339
3.649918,0.078418,0.428577
3.654917,0.079038,0.428934
3.659917,0.079484,0.429172
3.664917,0.080182,0.429531
3.669916,0.080637,0.429771
3.674916,0.081357,0.430132
3.679916,0.081784,0.430373
3.684915,0.082479,0.430735
3.689915,0.082972,0.430977
3.694915,0.083669,0.431342
3.699914,0.084132,0.431585
3.704914,0.045407,0.429100
3.709913,0.045804,0.429332
3.714913,0.046397,0.429680
3.719913,0.046750,0.429913
3.724912,0.047352,0.430262
3.729912,0.047776,0.430496
3.734912,0.048456,0.430848
3.739911,0.048926,0.431083
3.744911,0.049644,0.431436
3.749911,0.050136,0.431672
3.754910,0.050914,0.432027
3.759910,0.051456,0.432265
3.764910,0.052267,0.432622
3.769909,0.052846,0.432860
3.774909,0.053710,0.433219
3.779908,0.054345,0.433458
3.784908,0.055270,0.433818
3.789908,0.055879,0.434059
3.794907,0.056840,0.434421
3.799907,0.057505,0.434663
3.804907,0.036275,0.432186
3.809906,0.036869,0.432416
3.814906,0.037756,0.432763
3.819906,0.038361,0.432994
3.824905,0.039254,0.433342
3.829905,0.039866,0.433574
3.834904,0.040767,0.433924
3.839904,0.041378,0.434157
3.844904,0.042300,0.434509
3.849903,0.042919,0.434743
3.854903,0.043863,0.435097
3.859903,0.044504,0.435332
3.864902,0.045478,0.435687
3.869902,0.046134,0.435924
3.874902,0.047122,0.436281
3.879901,0.047786,0.436519
3.884901,0.048802,0.436877
3.889900,0.049487,0.437117
3.894900,0.050518,0.437477
3.899900,0.051205,0.437717
3.904899,0.045452,0.435248
3.909899,0.045979,0.435477
3.914899,0.046778,0.435821
3.919898,0.047315,0.436051
3.924898,0.048146,0.436397
3.929898,0.048697,0.436628
3.934897,0.049537,0.436975
3.939897,0.050097,0.437208
3.944896,0.050948,0.437557
3.949896,0.051541,0.437790
3.954896,0.052446,0.438141
3.959895,0.053076,0.438376
3.964895,0.054038,0.438729
3.969895,0.054692,0.438964
3.974894,0.055711,0.439319
3.979894,0.056410,0.439556
